Category,,"March 31, 2022","March 31, 2021"
a),Direct exposure,"133,650.15","114,575.93"
(i) Residential mortgages*,,"83,773.07","71,673.56"
(of which housing loans eligible for inclusion in priority sector advances),,"(29,375.95)","(27,886.84)"
(ii) Commercial real estate,,"49,683.48","42,587.09"
(iii) Investments in Mortgage Backed Securities (MBS) and other securitised exposures:,,,
(a) Residential,,160.09,227.73
(b) Commercial real estate,,33.51,87.55
b) Indirect exposure,,"36,208.42","32,877.30"
Fund based and non-fund based exposures on National Housing Bank (NHB) and Housing Finance Companies (HFCs),,"36,208.42","32,877.30"
Total exposure to real estate sector,,"169,858.57","147,453.23"
