Items / Related party,Promoter,Subsidiaries,Key Management personnel (KMP),Relatives of KMP & their interested entities,Total
Equity investments,-,"3,826.49",-,-,"3,826.49"
,-,"(3,826.49)",-,-,"(3,826.49)"
Other investments,-,"3,138.89",-,-,"3,138.89"
,-,"(3,138.89)",-,-,"(3,138.89)"
Dividend paid to,-,-,-,-,-
Dividend received from,-,483.04,-,-,483.04
Receivable from,138.77,6.27,-,-,145.04
,(138.77),(10.96),-,-,(149.73)
Payable to,111.05,86.08,-,-,197.13
,(199.27),(171.13),-,-,(370.40)
Guarantees given,0.40,-,-,-,0.40
,(0.41),-,-,(0.05),(0.46)
Remuneration paid,-,-,22.48,-,22.48
Loans purchased from,"18,979.78",-,-,-,"18,979.78"
