,"As at March 31, 2022","As at March 31, 2021"
I Statutory reserve,,
Opening balance,"43,483.53","35,603.83"
Additions during the year,"9,444.38","7,879.70"
Total,"52,927.91","43,483.53"
II General reserve,,
Opening balance,"16,785.79","13,674.14"
Additions during the year,"3,696.14","3,111.65"
"Total
:unselected:","20,481.93","16,785.79"
III Balance in profit and loss account,"99,062.77","78,594.20"
"IV Share premium account
:selected:",,
"Opening balance
:unselected:","60,512.68","58,755.53"
"Additions during the year
:unselected:","2,606.48","1,757.15"
"Total
:unselected:","63,119.16","60,512.68"
V Amalgamation reserve :selected:,,
"Opening balance
:unselected:","1,063.56","1,063.56"
"Additions during the year
:unselected:",-,-
"Total
:unselected:","1,063.56","1,063.56"
"VI Capital reserve
:selected:",,
"Opening balance
:unselected:","4,956.45","2,664.77"
"Additions during the year
:unselected:",666.47,"2,291.68"
"Total
:unselected:","5,622.92","4,956.45"
VII Investment reserve,,
"Opening balance
:unselected:",61.66,-
"Additions during the year
:unselected:",239.87,61.66
"Deductions during the year
:unselected:",(6.74),-
"Total
:unselected:",294.79,61.66
VIII Investment fluctuation reserve,,
"Opening balance
:unselected:","3,619.00","1,907.00"
"Additions during the year
:unselected:",-,"1,712.00"
"Total
:unselected:","3,619.00","3,619.00"
IX Foreign currency translation account :selected:,,
"Opening balance
:unselected:",182.03,323.86
"Additions / (deductions) during the year
:unselected:",165.12,(141.83)
"Total
:unselected:",347.15,182.03
X Cash flow hedge reserve :selected:,,
"Opening balance
:unselected:",-,-
"Additions / (deductions) during the year
:unselected:",(108.09),-
"Total
:unselected:",(108.09),-
