,₹ in crore,
,"As at March 31, 2022","As at March 31, 2021"
I Claims against the bank not acknowledged as debts - taxation,"1,343.95","1,272.71"
II Claims against the bank not acknowledged as debts - others,218.90,318.09
III Liability for partly paid investments,-,-
IV Liability on account of outstanding forward exchange contracts,"655,187.18","496,472.67"
V Liability on account of outstanding derivative contracts,"593,778.58","361,579.46"
VI Guarantees given on behalf of constituents - in India,"83,391.03","75,119.53"
- outside India,352.43,180.09
"VII Acceptances, endorsements and other obligations","61,563.97","37,653.63"
VIII Other items for which the bank is contingently liable,"4,361.59","2,684.48"
Total,"1,400,197.63","975,280.66"
