Items / Related party,Promoter,Key Management personnel (KMP),Relatives of KMP Total & their interested entities
Deposits taken,"2,741.49",4.54,"1.43 2,747.46"
,"(5,132.37)",(23.02),"(1.43) (5,156.82)"
Deposits placed,0.32,-,- 0.32
,(0.32),-,- (0.32)
Advances given,-,0.55,# 0.55
,-,(0.73),(0.01) (0.74)
Fixed assets purchased from,-,-,- -
Fixed assets sold to,-,-,- -
Interest paid to,20.43,0.98,0.04 21.45
Interest received from,-,0.02,- 0.02
Income from services rendered to,463.93,#,# 463.93
Expenses for receiving services from,720.16,-,720.16 -
Equity investments,-,-,- -
,-,-,- -
Other investments,-,-,- -
,-,-,- -
Dividend paid to,562.00,2.50,# 564.50
Dividend received from,-,-,- -
Receivable from,65.33,-,65.33 -
,(135.56),-,(135.56) -
Payable to,64.14,-,64.14 -
,(64.14),-,(64.14) -
Guarantees given,0.39,-,0.39 -
,(0.40),-,(0.40) -
Remuneration paid,-,17.16,17.16 -
Loans purchased from,"28,205.24",-,"28,205.24 -"
