GRI Standard,Disclosure,Description,Page Number(s) and/or URL(s)/Section
Environmental Compliance,103-1,Explanation of the material topic and its Boundary,57
,103-2,The management approach and its components,57
,103-3,Evaluation of the management approach,57
,307-1,Non-compliance with environmental laws and regulations,57
Supplier Environmental Assessment,103-1,Explanation of the material topic and its Boundary,57
,103-2,The management approach and its components,57
,103-3,Evaluation of the management approach,57
,308-1,New suppliers that were screened using environmental criteria,57
,308-2,Negative environmental impacts in the supply chain and actions taken,57
GRI 400: SOCIAL,,,
Employment,103-1,Explanation of the material topic and its Boundary,80-93
,103-2,The management approach and its components,80-93
,103-3,Evaluation of the management approach,80-93
,401-1,New employee hires and employee turnover,80-93
,401-2,Benefits provided to full-time employees that are not provided to temporary or part- time employees,80-93
,401-3,Parental leave,80-93
Labor/ Management Relations,103-1,Explanation of the material topic and its Boundary,80-93
,103-2,The management approach and its components,80-93
,103-3,Evaluation of the management approach,80-93
,402-1,Minimum notice periods regarding operational changes,80-93
Occupational Health and Safety,403-3,Occupational health services,80-93
,403-4,"Worker participation, consultation, and communication on occupational health and safety",80-93
,,,
,403-6,Promotion of worker health,80-93
,403-7,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,80-93
,403-10,Work-related ill health,80-93
Training and Education,103-1,Explanation of the material topic and its Boundary,80-93
,103-2,The management approach and its components,80-93
,103-3,Evaluation of the management approach,80-93
,404-1,Average hours of training per year per employee,80-93
,404-2,Programs for upgrading employee skills and transition assistance programs,80-93
,404-3,Percentage of employees receiving regular performance and career development reviews,80-93
