Sr. No.,Name of the subsidiary,HDFC Securities Limited,HDB Financial Services Limited
1.,The date since when subsidiary was acquired,"September 28, 2005","August 31, 2007"
2.,"Reporting period for the subsidiary concerned, if different from the holding company's reporting period","Reporting period of the subsidiary is the same as that of the holding company i.e. April 1, 2021 to March 31, 2022","Reporting period of the subsidiary is the same as that of the holding company i.e. April 1, 2021 to March 31, 2022"
3.,Reporting currency and exchange rate as on the last date of the relevant financial year in the case of foreign subsidiaries,Not applicable as this is a domestic subsidiary,Not applicable as this is a domestic subsidiary
4.,Share capital,15.83,790.44
5.,Reserves & surplus,"1,628.88","9,033.16"
6.,Total assets,"7,873.02","64,394.07"
7.,Total liabilities,"6,228.31","54,570.47"
8.,Investments,216.35,"2,299.38"
9.,Turnover,"1,974.34","11,491.43"
10.,Profit before taxation,"1,327.40","1,352.64"
11.,Provision for taxation,331.46,332.46
12.,Profit after taxation,995.94,"1,020.18"
13.,Proposed dividend,Nil*,Nil
14.,Extent of shareholding (in percentage),95.96%,94.96%
