Sr. No. Category,,Name of Director
1,Executive,i. Mr. Sashidhar Jagdishan (Managing Director &
,Directors,Chief Executive Officer)
,,ii. Mr. Kaizad Bharucha
2 Non-Executive Directors,,Mrs. Renu Karnad (Nominee of Housing
,,"Development Finance Corporation Limited,"
,,Promoter of the Bank)
3 Independent Directors,,i. Mr. Atanu Chakraborty (Part-time Chairman &
,,Independent Director)
,,ii. Mr. Sanjiv Sachar
,,iii. Mr. Umesh Chandra Sarangi
,,iv. Mr. Sandeep Parekh
,,v. Mr. Malay Patel
,,vi. Mr. M. D. Ranganath
,,vii. Dr. (Mrs.) Sunita Maheshwari
,,viii.Mrs. Lily Vadera
