Listed Public Limited Companies,Other Public Limited Companies
Housing Development Finance,HDFC ERGO General Insurance
Corporation Limited,Company Limited
(Managing Director),(Non-Executive Director)
HDFC Asset Management,Bangalore International Airport
Company Limited,Limited
(Non-Executive Director),(Independent Director)
HDFC Life Insurance Company Limited (Non-Executive Director),
GlaxoSmithKline Pharmaceuticals,
Limited,
(Non-Executive Director),
Unitech Limited,
(Nominee of the Central,
Government)*,
