Name of the Director,Board Meetings attended during the year,"Attendance at last virtual AGM (July 17, 2021)"
Independent Directors,,
Mr. Atanu Chakraborty#,12,Present
Mr. Sanjiv Sachar,14,Present
Mr. Umesh Chandra Sarangi,14,Present
Mr. Sandeep Parekh,14,Present
Mr. Malay Patel,14,Present
Mr. M. D. Ranganath,14,Present
Dr. (Mrs.) Sunita Maheshwari,13,Present
Mrs. Lily Vadera*,4,NA
Non-executive Directors,,
Mr. Srikanth Nadhamuni **,12,Present
Mrs. Renu Karnad,14,Present
Executive Directors,,
Mr. Kaizad Bharucha,14,Present
Mr. Sashidhar Jagdishan,14,Present
