(Amount in ₹),,
Director,Sitting Fees,Remuneration to NEDs
Mr. Atanu Chakraborty1,"36,50,000","31,70,698.96"
Mr. Malay Patel,"55,50,000","20,00,000"
Mr. Umesh Chandra Sarangi,"51,00,000","20,00,000"
Mrs. Renu Karnad,"56,50,000","20,00,000"
Mr. Sanjiv Sachar,"58,00,000","20,00,000"
Mr. Sandeep Parekh,"43,50,000","20,00,000"
Mr. M. D. Ranganath,"64,50,000","20,00,000"
Dr. (Mrs.) Sunita Maheshwari,"21,00,000","20,00,000"
Mrs. Lily Vadera2,"6,00,000","6,90,217"
Mr. Srikanth Nadhamuni3,"55,00,000","17,72,222"
Total,"4,47,50,000","1,96,33,137.96"
