,Non-Executive Directors Executive Directors,,,,,,,,,,
,Atanu Chakraborty,Sanjiv Sachar,Umesh Chandra Sarangi,Sandeep Parekh,Malay Patel,M. D. Ranganath,Sunita Maheshwari,Lily Vadera,Renu Karnad,Sashidhar Jagdishan,Kaizad Bharucha
Audit,,"8
:unselected:","2
:unselected:
:unselected:",,,":
:selected:",,,,,
Nomination and Remuneration,"8
:unselected:
:unselected:","2
:selected:","0
:unselected:
:unselected:","8
:unselected:
:unselected:",,"8
:unselected:
:unselected:",,,,,
Stakeholders' Relationship,,,"8
:unselected:","8
:unselected:","2
:selected:",,,"8
:unselected:","8
:unselected:",,"8
:unselected:"
Corporate Social Responsibility & ESG,,"8
:unselected:",,,8,,":
:selected:",,"8
:unselected:",,8
Risk Policy and Monitoring,"8
:unselected:
:unselected:","8
:unselected:",,"8
:unselected:",,"8
:unselected:
:unselected:",,":
:selected:","8
:unselected:","8
:unselected:",
Fraud Monitoring,,"8
:unselected:",":
:selected:",,,,,,"8
:unselected:","8
:unselected:",8
Customer Service,"8
:unselected:
:unselected:",,"2
:selected:","8
:unselected:
:unselected:",,,8,,,8,8
Credit Approval,,,,"8
:unselected:","8
:unselected:",,,,"8
:unselected:",,"8
:unselected:"
Digital Transactions Monitoring,,,,"8
:unselected:","8
:unselected:","8
:unselected:",,"8
:unselected:",,,
IT Strategy*,8,,,,,8,8,,,"8
:unselected:",
Wilful Defaulters' Identification Review,,,"2
:unselected:","8
:unselected:","8
:unselected:","8
:unselected:",,,,":
:selected:","8
:unselected:"
Non-Cooperative Borrowers Review,,,"8
:unselected:",8,8,8,,,,":
:selected:","8
:unselected:"
Premises,,,,8,,,8,,:,,
