Particulars,"Postal Ballot Notice Dated February 18, 2022","Postal Ballot Notice Dated March 28, 2022"
Resolution(s),1. Appointment of Mrs. Lily Vadera (DIN: 09400410) as an Independent Director of the Bank - Special Resolution,1. Approval and adoption of Employee Stock Incentive Plan 2022 - Special Resolution
,2. Approval of Related Party Transactions with Housing Development Finance Corporation Limited- Ordinary Resolution,
,3. Approval of Related Party Transactions with HDB Financial Services Limited - Ordinary Resolution,
,4. Approval of Related Party Transactions with HDFC Securities Limited - Ordinary Resolution,
,5. Approval of Related Party Transactions with HDFC Life Insurance Company Limited- Ordinary Resolution,
,6. Approval of Related Party Transactions with HDFC ERGO General Insurance Company Limited - Ordinary Resolution,
Remote e-voting,Central Depository Services (India) Limited,National Securities Depository Limited
Scrutinizer,"The Board of Directors Narasimhan of M/s. B.N.
V. V. Chakradeo of M/s.
Company Secretaries and","had appointed Mr. B.
& Associates, Practising
in his absence, Mr.
V. V. Chakradeo &"
,"Co., Practicing Company
Scrutinizer, for conducting
process in a fair and","Secretaries, as the
the Postal Ballot
transparent manner."
Cut-off Date,"Monday, February 21, 2022","Friday, April 08, 2022"
Dispatch Date of Notice,"Wednesday, February 23, 2022","Monday, April 11, 2022"
Remote e-voting period,"Commenced on Saturday, February 26, 2022 at 9:00 A.M. IST and ended on Sunday, March 27, 2022 at 5:00 P.M. IST.","Commenced on Friday, April 15, 2022 at 9:00 A.M. IST and ended on Saturday, May 14, 2022 at 5:00 P.M. IST."
