Share Range From,Share Range To,No. of Shares,% To Capital,No. of Holders,% Tot No. of Holders
1,"2,500","21,35,12,859",3.85,"22,27,914",98.75
"2,501","5,000","5,42,34,088",0.98,"14,836",0.66
"5,001","10,000","4,34,04,892",0.78,"6,148",0.27
"10,001","15,000","2,16,13,580",0.39,"1,757",0.08
"15,001","20,000","1,58,90,590",0.29,908,0.04
"20,001","25,000","1,28,87,626",0.23,572,0.02
"25,001","50,000","4,84,14,689",0.87,"1,348",0.06
"50,001","1,00,000","6,08,76,031",1.10,862,0.04
"1,00,001","9,99,99,99,999","5,07,47,06,621",91.51,"1,816",0.08
TOTAL,,"5,54,55,40,976",100.00,"22,56,161",100.00
