Disclosure Questions,P,P,P 3,P,P,P 6,P,P 8,P
,1,2,,4,5,,7,,9
Policy and management processes,,:unselected:,:unselected:,:unselected:,:unselected:,:unselected:,:unselected:,:unselected:,
1. a. Whether your entity's policy/policies cover each principle and its core elements of the NGRBCs. (Yes/No),Y,Y :selected:,Y :selected:,Y :selected:,Y :selected:,Y :selected:,Y :selected:,Y :selected:,Y :selected:
b. Has the policy been approved by the Board? (Yes/No),Y :selected:,Y :selected:,Y :selected:,Y :selected:,Y :selected:,Y :selected:,Y :selected:,Y :selected:,Y :selected:
"c. Web Link of the Policies, if available",Note,Note 4 :selected:,"Note 4,5",Note 4 :selected:,Note,Note 4 :selected:,Note 1,Note 3,Note
,5,,,,"4,5",,,,"2,5"
2. Whether the entity has translated the policy into procedures. (Yes / No),Y :selected:,Y :selected:,Y :selected:,Y :selected:,"Y :selected:
:unselected:","Y :selected:
:unselected:","Y :selected:
:unselected:",Y :selected:,Y :selected:
3. Do the enlisted policies extend to your value chain partners? (Yes/No),Y :selected:,Y :selected:,Y :selected:,Y :selected:,Y :selected:,"Y :selected:
:unselected:",Y :selected:,Y :selected:,Y :selected:
4. Name of the national and international codes/certifications/,,,,,,Note,,,Note
"labels/ standards (e.g. Forest Stewardship Council, Fairtrade, Rainforest Alliance, Trustea) standards (e.g. SA 8000, OHSAS, ISO, BIS) adopted by your entity and mapped to each principle.",,,,,,7,,,6
"5. Specific commitments, goals and targets set by the entity with defined timelines, if any.",,,Y :selected:,,,Y :selected:,,Y :selected:,
"6. Performance of the entity against the specific commitments, goals and targets along-with reasons in case the same are not met.",,,Please refer #,,,Please refer **,,Please refer @ :selected:,
