Cate gory,FY 2021-22 Current Financial Year,,,,,FY 2020-21 Previous Financial Year,,,,
,Total (A),On Health and safety measures,,On Skill upgradation,,Total (D),On Health and safety measures,,On Skill upgradation,
,,No. (B),% (B / A),No. (C),% (C / A),,No. (E),% (E / D),No. (F),% (F / D)
Employees:,,,,,,,,,,
Male,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Female,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Total,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Workers:,,,,,,,,,,
Male,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Female,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Total,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
