Sl. No.,Name of the Project,Item from the list of activities in Schedule VII to the Act,Local area (Yes/ No),,Location of the project,Project dura- tion,Amount allocated for the project (₹ Cr.),Amount spent in the current financial Year (₹ Cr),Amount transferred to Unspent CSR Account for the project as per Section 135(6) (₹ Cr),Mode of Imple- menta- tion - Direct (Yes/No),Mode of Implementation - Through Implementing Agency,
,,,,State,District,,,,,,Name,CSR Registration Number
53,Natural Resource Management,Ensuring Environmental Sustainability (iv),Yes,Uttarakhand,Chamoli,1,0.8,0.8,NA,No,Himmotthan Society,CSR00000081
54,Solar Panel Installation,Ensuring Environmental Sustainability (iv),Yes,Maharashtra,Mumbai,2,0.02,0.02,NA,No,United Way Of Mumbai,CSR00000762
55,Livelihood Enhancement for farmers,Vocational Training and Livelihood Enhancement (ii),Yes,Gujarat,Surendranagar & Dang,3,0.28,0.28,NA,No,Aga Khan Rural Support Programme India,CSR00004229
56,Livelihood enhancement of farmers,Vocational Training and Livelihood Enhancement (ii),Yes,Madhya Pradesh,Harda,1,1.91,1.91,NA,No,Aga Khan Rural Support Programme India,CSR00004229
57,Skill training to youth,Vocational Training and Livelihood Enhancement (ii),Yes,Maharashtra,Mumbai,3,0.3,0.3,NA,No,All India Institute Of Local Self Government,CSR00000373
58,Livelihood Enhancement for farmers,Vocational Training and Livelihood Enhancement (ii),Yes,Gujarat,Junagadh,3,0.11,0.11,NA,No,Ambuja Cement Foundation,CSR00006913
59,Livelihood Enhancement for farmers,Vocational Training and Livelihood Enhancement (ii),Yes,Uttarakhand,Haridwar,1,1.01,1.01,NA,No,Ambuja Cement Foundation,CSR00006913
60,Livelihood Enhancement for women,Vocational Training and Livelihood Enhancement (ii),Yes,PUNJAB,Muktsar,3,0.82,0.82,NA,No,Ambuja Cement Foundation,CSR00006913
61,Skill Training for youth,Vocational Training and Livelihood Enhancement (ii),Yes,Chhattisgarh,Bilaspur,3,0.3,0.3,NA,No,Ambuja Cement Foundation,CSR00006913
62,Skill training of youth,Vocational Training and Livelihood Enhancement (ii),Yes,Uttar Pradesh,Noida,3,1.04,1.04,NA,No,Ambuja Cement Foundation,CSR00006913
63,Skill Training Program for Youth,Vocational Training and Livelihood Enhancement (ii),Yes,Uttar Pradesh,Lucknow,1,0.49,0.49,NA,No,Ambuja Cement Foundation,CSR00006913
