Overview,,Introduction to HDFC Bank,,Our Performance,,How We Create Value,,Our Strategy,,Responsible Statutory Reports and Business Financial Statements,,
,,,,,,,,,,,,
Sl. Name No. of the Project,,Item from the list of activities in Schedule VII to the Act,Local area (Yes/ No),,Location of the project,Project dura- tion,Amount allocated for the project (₹ Cr.),Amount spent in the current financial Year (₹ Cr),Amount transferred to Unspent CSR Account for the project as per Section 135(6) (₹ Cr),Mode of Imple- menta- tion - Direct (Yes/No),Mode of Implementation - Through Implementing Agency,
,,,,State,District,,,,,,Name,CSR Registration Number
93,Skill Training Program for Youth,Vocational Training and Livelihood Enhancement (ii),Yes,Chandigarh,Chandigarh,3,2.12,2.12,NA,No,Friends Union For Energizing Lives,CSR00000051
94,Skill Training Program for Youth,Vocational Training and Livelihood Enhancement (ii),Yes,Maharashtra,Pune,1,2.97,2.97,NA,No,Friends Union For Energizing Lives,CSR00000051
95,Skills Training and Livelihood Enhancement,Vocational Training and Livelihood Enhancement (ii),Yes,Odisha,Bhuvaneshwar,2,0.93,0.93,NA,No,Friends Union For Energizing Lives,CSR00000051
96,Livelihood enhancement for women,Vocational Training and Livelihood Enhancement (ii),Yes,Assam,Darang,3,0.14,0.12,NA,No,Fxb India Suraksha,CSR00000076
97,Skill Enhancement of Youth,Vocational Training and Livelihood Enhancement (ii),Yes,Pan India,Multiple District,3,0.82,0.82,NA,No,Head Held High Foundation,CSR00000919
98 Livelihood Enhancement for farmers,,Vocational Training and Livelihood Enhancement (ii),Yes,Uttarakhand,Uttarkashi,3,0.81,0.8,NA,No,Himalayan Action Research Centre,CSR00008707
99 Farmers training program,,Vocational Training and Livelihood Enhancement (ii),Yes,Jammu and Kashmir,Ladakh,3,1.69,1.69,NA,No,Himmotthan Society,CSR00000081
100 Livelihood Enhancement for farmers,,Vocational Training and Livelihood Enhancement (ii),Yes,Uttar Pradesh,Chamoli,1,1.03,1.03,NA,No,Himmotthan Society,CSR00000081
101 Skill Training for Youth,,Vocational Training and Livelihood Enhancement (ii),Yes,Kerala,Palakkad,3,1.4,1.4,"NA
:unselected:",No,Iit Palakkad,CSR00006228
102,Skill training for farmers,Vocational Training and Livelihood Enhancement (ii),Yes,Jammu and Kashmir,"Kupwara,Gandebal, Baramula, Budgam, Shopian, Pulwama",3,1.2,1.2,NA,No,Indian Society Of Agribusiness Professionals,CSR00000109
