"Sl.
No.","Name
of the Project",Item from the list of activities in Schedule VII to the Act,Local area (Yes/ No),,Location of the project,Project dura- tion,Amount allocated for the project (₹ Cr.),Amount spent in the current financial Year (₹ Cr),Amount transferred to Unspent CSR Account for the,Mode of Imple- menta- tion - Direct (Yes/No),"Mode of
Through","Implementation -
Implementing Agency"
,,,,State,District,,,,project as per Section 135(6) (₹ Cr),,Name,CSR Registration Number
143,Women and farmers training program,Vocational Training and Livelihood Enhancement (ii),Yes,Rajasthan,Bikaner,3,2.32,2.32,NA,No,Urmul Seemant Samiti,CSR00000567
144,Farmers training program,Vocational Training and Livelihood Enhancement (ii),Yes,Jharkhand,Gumla,3,0.95,0.95,NA,No,Vikas Samvad Samiti,CSR00000367
145,Livelihood Enhancement for farmers,Vocational Training and Livelihood Enhancement (ii),Yes,Telangana,Mulungu,2,1.62,1.62,NA,No,Vrutti,CSR00000538
146,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Madhya Pradesh,Chindwada,4,0.02,0.02,NA,No,Watershed Organisation Trust,CSR00000518
147,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Madhya Pradesh,"Sagar
:unselected:",2,0.73,0.73,NA,No,Abhyuday Sansthan,CSR00000495
148,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Madhya Pradesh,Ratlam,4,0.19,0.19,NA,No,Baif Development Research Foundation,CSR00000308
149,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Assam,"Kamrup
:unselected:",4,0.07,0.07,NA,No,Fxb India Suraksha,CSR00000076
150,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Assam,"Nalbari
:unselected:",4,0.29,0.29,NA,No,Gramya Vikash Mancha,CSR00000407
151,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Odisha,"Nayagarh
:unselected:",4,1.42,1.42,NA,No,Gram Vikas,CSR00000596
152,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,PUNJAB,"Amritsar
:unselected:",4,0.17,0.17,NA,No,Shramik Bharti,CSR00000332
153,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,PUNJAB,Fazilka,4,0.52,0.52,NA,No,Centre For Advance Research And Development,CSR00000339
154,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Uttarakhand,Haridwar,4,1.57,1.57,NA,No,Ambuja Cement Foundation,CSR00006913
155,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Madhya Pradesh,Shahdol,4,2.18,2.18,NA,No,Action For Social Advan- Cement (Asa),CSR00001213
56,Holistic Rural Development Program,"Rural Development Projects (x)
:selected:",Yes,Meghalaya,Ri-Bhoi,4,0.72,0.72,NA,No,Fxb India Suraksha,CSR00000076
