,,,,,,,,,
Sl. Name No. of the Project,,Item from the list of activities in Schedule VII to the Act,Local area (Yes/ No),,Location of the project,Amount spent for the project (₹ Cr),Mode of Imple- menta- tion - Direct (Yes/No),Mode of Implementation - Through Implementing Agency,
,,,,State,District,,,Name,CSR Registration Number
157,Water Management tool,Preventive and Curative Healthcare (i),Yes,Pan India,Multiple District,0.01,Yes,Direct,NA
158 Sanitation project,,Preventive and Curative Healthcare (i),Yes,Tamilnadu,Venkatapuram,0.49,No,Voice Foundation,CSR00000951
159,COVID Relief Program,Preventive and Curative Healthcare (i)/ Disaster Management (xii),Yes,Chhattisgarh,Balod,0,No,Vrutti,CSR00000538
160,COVID Relief Program,Preventive and Curative Healthcare (i)/ Disaster Management (xii),Yes,Madhya Pradesh,Chhindwara,0.02,No,Watershed Organisation Trust,CSR00000518
161,COVID Relief Program,Preventive and Curative Healthcare (i)/ Disaster Management (xii),Yes,Maharashtra,Jalna,0.01,No,Watershed Organisation Trust,CSR00000518
162 COVID Relief Program,,Preventive and Curative Healthcare (i)/ Disaster Management (xii),Yes,Gujarat,"Ahmedabad, Gandhinagar",2,No,Yuva Unstoppable,CSR00000473
163 COVID Relief Program,,Preventive and Curative Healthcare (i)/ Disaster Management (xii),Yes,Maharashtra,Lonavala,0,No,Yuva Unstoppable,CSR00000473
164,Smart Class project,Promoting Education (ii),Yes,Chhattisgarh,"Raipur, Korba, Mahasamund, Bilaspur, Rajnandgaon, Dhamtari, Kabirdham, Raigarh, Janjgir Champa, Durg, Bastar, Kondagaon, Kanker, Jashpur, Mungeli, Surguja, Dantevada, Bijapur, Koriya,",0.47,No,Yuva Unstoppable,CSR00000473
165 Smart Class project,,Promoting Education (ii),Yes,PUNJAB,Amritsar,0.5,No,Yuva Unstoppable,CSR00000473
166,Smart Class project,Promoting Education (ii),Yes,Odisha,"Angul, Khurda, Nayagarh, Jagatsinghpur, Kendrapara, Bolangir, Boudh, Kandhamal, Jharsuguda, Keonjhar, Mayurbhanj, Sambalpur, Cuttack, Jagatsinghpur, Puri, Bargarh, Kalahandi, Koraput, Malkangiri, Rayagada, Balasore, Bhadrak, Ganjam, Khurda, Jajpur",2.2,No,Yuva Unstoppable,CSR00000473
167,Smart Class project,Promoting Education (ii),Yes,Delhi,Delhi,0.22,No,Yuva Unstoppable,CSR00000473
