Name and Designation,Ratio
"Atanu Chakraborty, Part-Time Chairman and Independent Director",14.42 : 1
"Renu Karnad, Non-Executive Director (Nominee of HDFC Ltd)",16.17 : 1
"Srikanth Nadhamuni, Non-Executive Director",15.37 : 1
"Malay Patel, Independent Director",15.96 : 1
"Umesh Chandra Sarangi, Independent Director",15.01 : 1
"Sanjiv Sachar, Independent Director",16.49 : 1
"Sandeep Parekh, Independent Director",13.42 : 1
"MD Ranganath, Independent Director",17.86 : 1
"Sunita Maheshwari, Independent Director",8.67: 1
"Lily Vadera, Independent Director",2.73 : 1
"Sashidhar Jagdishan, Managing Director & CEO",147 : 1*
"Kaizad Bharucha, Executive Director",136 : 1*
